severity,category,title,action,negative_review_count
critical,service,Improve Staff Service Quality,Implement regular customer service training for staff,89
critical,service,Improve Staff Service Quality,Set up a feedback system to track staff performance,89
critical,service,Improve Staff Service Quality,Consider mystery shopper programs to audit service quality,89
critical,service,Improve Staff Service Quality,Establish clear service standards and response protocols,89
critical,quality,Enhance Product/Service Quality,Audit current quality control processes,70
critical,quality,Enhance Product/Service Quality,Source higher-quality ingredients/materials,70
critical,quality,Enhance Product/Service Quality,Implement quality checkpoints before serving/delivering,70
critical,quality,Enhance Product/Service Quality,Gather real-time quality feedback from customers,70
critical,wait_time,Reduce Wait Times,Implement online ordering/reservation system,58
critical,wait_time,Reduce Wait Times,Optimize kitchen/fulfillment workflow,58
critical,wait_time,Reduce Wait Times,Add staff during peak hours,58
critical,wait_time,Reduce Wait Times,Provide estimated wait times and comfortable waiting area,58
medium,price,Review Pricing Strategy,Benchmark prices against top competitors in the area,23
medium,price,Review Pricing Strategy,Create value meal/package options for budget-conscious customers,23
medium,price,Review Pricing Strategy,Clearly communicate price-value proposition on menu/listings,23
medium,price,Review Pricing Strategy,Consider loyalty programs or discounts for repeat customers,23
low,ambiance,Upgrade Atmosphere & Environment,Assess cleanliness and maintenance schedules,11
low,ambiance,Upgrade Atmosphere & Environment,Consider interior design improvements or renovation,11
low,ambiance,Upgrade Atmosphere & Environment,Manage noise levels and music selection,11
low,ambiance,Upgrade Atmosphere & Environment,Ensure comfortable temperature and lighting,11
low,location,Address Location & Accessibility Issues,Improve signage and directions to the location,6
low,location,Address Location & Accessibility Issues,Partner with nearby parking facilities or add valet service,6
low,location,Address Location & Accessibility Issues,Highlight accessibility features on online listings,6
low,location,Address Location & Accessibility Issues,Consider offering delivery/pickup if not already available,6
low,portion,Adjust Portion Sizes,Review portion sizes against customer expectations,3
low,portion,Adjust Portion Sizes,Offer multiple size options (small/regular/large),3
low,portion,Adjust Portion Sizes,Ensure consistency in portioning across all orders,3
low,portion,Adjust Portion Sizes,Consider combo/family-size options for groups,3
low,menu_variety,Expand Menu/Product Variety,Survey customers about desired menu items/products,2
low,menu_variety,Expand Menu/Product Variety,Add seasonal or limited-time offerings,2
low,menu_variety,Expand Menu/Product Variety,"Include dietary-specific options (vegan, gluten-free, halal)",2
low,menu_variety,Expand Menu/Product Variety,Rotate menu items to keep offerings fresh,2
low,delivery,Improve Delivery & Takeout Experience,Partner with reliable delivery platforms,2
low,delivery,Improve Delivery & Takeout Experience,Improve packaging to maintain food/product quality during transit,2
low,delivery,Improve Delivery & Takeout Experience,Set accurate delivery time estimates,2
low,delivery,Improve Delivery & Takeout Experience,Implement order tracking for customers,2
